Date,Country,Country_Geopolitical_Shock_Exposure,Country_Geo_Shock_Z,Country_Geo_Risk_Percentile,Country_Geo_Risk_Level
10/20/2019,United States,90.03172622,0.248855519,0.877100968,Extremely high
10/21/2019,United States,230.6031397,1.177769531,0.950373025,Extremely high
10/22/2019,United States,134.0144436,0.539498982,0.914126465,Extremely high
10/23/2019,United States,239.5188102,1.236685431,0.952779076,Extremely high
10/24/2019,United States,287.0244383,1.550608742,0.962109017,Extremely high
10/25/2019,United States,347.6559802,1.951269783,0.970608091,Extremely high
10/26/2019,United States,70.81225583,0.121850782,0.849111146,Extremely high
10/27/2019,United States,18.92333646,-0.221037883,0.594865936,Moderate
10/28/2019,United States,242.5780906,1.25690155,0.953454155,Extremely high
10/29/2019,United States,234.4816166,1.203399006,0.951463537,Extremely high
10/30/2019,United States,279.5787111,1.501406417,0.960862717,Extremely high
10/31/2019,United States,205.1819497,1.009783032,0.943726091,Extremely high
11/1/2019,United States,174.9998431,0.810335783,0.934136504,Extremely high
11/2/2019,United States,105.7223449,0.352541149,0.893475965,Extremely high
11/3/2019,United States,94.41123783,0.277795896,0.882293884,Extremely high
11/4/2019,United States,102.9940805,0.334512426,0.891052604,Extremely high
11/5/2019,United States,135.5079016,0.549367945,0.915199668,Extremely high
11/6/2019,United States,149.1561779,0.639557514,0.922409167,Extremely high
11/7/2019,United States,110.5997258,0.38477151,0.897647609,Extremely high
11/8/2019,United States,172.0157084,0.790616236,0.933063302,Extremely high
11/9/2019,United States,46.69529176,-0.037517224,0.785878728,High
11/10/2019,United States,96.67530593,0.29275715,0.885115369,Extremely high
11/11/2019,United States,160.968236,0.717613115,0.92755881,Extremely high
11/12/2019,United States,108.5045115,0.370926064,0.896107043,Extremely high
11/13/2019,United States,278.4290773,1.493809489,0.960533832,Extremely high
11/14/2019,United States,149.1561779,0.639557514,0.922409167,Extremely high
11/15/2019,United States,130.5175319,0.516390939,0.91191082,Extremely high
11/16/2019,United States,120.4172495,0.449646972,0.905090789,Extremely high
11/17/2019,United States,128.5510265,0.503396018,0.910872237,Extremely high
11/18/2019,United States,189.6704878,0.907281293,0.939450589,Extremely high
11/19/2019,United States,106.3467474,0.356667281,0.893874089,Extremely high
11/20/2019,United States,177.2026392,0.824892143,0.934915442,Extremely high
